Обозначение;Заглавие на русском языке;Статус;Код ОКС
ГОСТ Р 1.19-2023;Стандартизация в Российской Федерации. Своды правил. Правила построения, изложения, оформления и обозначения;Действует;"01.080.30;01.120"
ГОСТ Р 2.001-2023;Единая система конструкторской документации. Общие положения;Действует;01.110
ГОСТ Р 2.002-2019;Единая система конструкторской документации. Требования к моделям, макетам и темплетам, применяемые при проектировании;Действует;01.110
ГОСТ Р 2.005-2023;Единая система конструкторской документации. Термины и определения;Действует;01.040.25
ГОСТ Р 2.051-2023;Единая система конструкторской документации. Электронная конструкторская документация. Основные положения;Действует;01.110
ГОСТ Р 2.053-2023;Единая система конструкторской документации. Электронная структура изделия. Основные положения;Действует;01.110
ГОСТ Р 2.057-2019;Единая система конструкторской документации. Электронная модель сборочной единицы. Общие положения;Действует;01.100
ГОСТ Р 2.058-2023;Единая система конструкторской документации. Правила выполнения реквизитной части электронных конструкторских документов;Действует;01.110
ГОСТ Р 2.101-2023;Единая система конструкторской документации. Виды изделий;Действует;01.110
ГОСТ Р 2.102-2023;Единая система конструкторской документации. Виды и комплектность конструкторских документов;Действует;01.110
ГОСТ Р 2.104-2023;Единая система конструкторской документации. Основные надписи;Действует;01.110
ГОСТ Р 2.105-2019;Единая система конструкторской документации. Общие требования к текстовым документам;Действует;01.110
ГОСТ Р 2.106-2019;Единая система конструкторской документации. Текстовые документы;Действует;01.110
ГОСТ Р 2.109-2023;Единая система конструкторской документации. Основные требования к чертежам;Действует;01.100.01
ГОСТ Р 2.201-2023;Единая система конструкторской документации. Обозначение изделий и конструкторских документов;Действует;01.110
ГОСТ Р 2.308-2023;Единая система конструкторской документации. Допуски формы и расположения поверхностей. Правила выполнения;Действует;01.080
ГОСТ Р 2.316-2023;Единая система конструкторской документации. Надписи, технические требования и таблицы в графических документах. Правила выполнения;Действует;01.110
ГОСТ Р 2.503-2023;Единая система конструкторской документации. Правила внесения изменений;Действует;01.110
ГОСТ Р 2.504-2021;Единая система конструкторской документации. Электронная конструкторская документация. Правила внесения изменений;Действует;35.240.01
ГОСТ Р 2.521-2021;Единая система конструкторской документации. Электронная конструкторская документация. Требования к форматам представления трехмерных геометрических моделей;Действует;35.240.01
ГОСТ Р 2.531-2023;Единая система конструкторской документации. Электронная конструкторская документация. Виды преобразований;Действует;01.110
ГОСТ Р 2.601-2019;Единая система конструкторской документации. Эксплуатационные документы;Действует;01.100
ГОСТ Р 2.610-2019;Единая система конструкторской документации. Правила выполнения эксплуатационных документов;Действует;01.100
ГОСТ Р 2.711-2023;Единая система конструкторской документации. Схема деления изделия на составные части;Действует;01.100
ГОСТ Р 2.810-2023;Единая система конструкторской документации. Электронный макет изделия. Общие требования;Действует;01.110
ГОСТ Р 2.820-2023;Единая система конструкторской документации. Нормативно-справочная информация. Основные положения;Действует;01.110
ГОСТ Р 2.901-99;Единая система конструкторской документации. Документация, отправляемая за границу. Общие требования;Действует;01.100.20
ГОСТ Р 3.001-2023;Единая система технологической документации. Общие положения;Действует;01.110
ГОСТ Р 7.0.0-2024;Система стандартов по информации, библиотечному и издательскому делу. Национальная система стандартов по информации, библиотечному и издательскому делу. Основные положения;Действует;"01.140.40;01.140.20"
ГОСТ Р 7.0.1-2003;Система стандартов по информации, библиотечному и издательскому делу. Издания. Знак охраны авторского права. Общие требования и правила оформления;Действует;01.140
ГОСТ Р 7.0.2-2006;Система стандартов по информации, библиотечному и издательскому делу. Консервация документов на компакт-дисках. Общие требования;Действует;01.140.20
ГОСТ Р 7.0.3-2006;Система стандартов по информации, библиотечному и издательскому делу. Издания. Основные элементы. Термины и определения;Действует;01.140
ГОСТ Р 7.0.4-2020;Система стандартов по информации, библиотечному и издательскому делу. Издания. Выходные сведения. Общие требования и правила оформления;Действует;01.120
ГОСТ Р 7.0.5-2008;Система стандартов по информации, библиотечному и издательскому делу. Библиографическая ссылка. Общие требования и правила составления;Действует;01.140.30
ГОСТ Р 7.0.6-2008;Система стандартов по информации, библиотечному и издательскому делу. Международный стандартный номер издания музыкального произведения (ISMN). Издательское оформление и использование;Действует;01.140.30
ГОСТ Р 7.0.7-2021;Система стандартов по информации, библиотечному и издательскому делу. Статьи в журналах и сборниках. Издательское оформление;Действует;01.120
ГОСТ Р 7.0.8-2013;Система стандартов по информации, библиотечному и издательскому делу. Делопроизводство и архивное дело. Термины и определения;Действует;"01.040.01;01.140.20"
ГОСТ Р 7.0.9-2009;Система стандартов по информации, библиотечному и издательскому делу. Библиографическое обеспечение издательских и книготорговых процессов. Общие требования;Действует;01.140.30
ГОСТ Р 7.0.10-2019;Система стандартов по информации, библиотечному и издательскому делу. Набор элементов метаданных «Дублинское ядро». Основные (ядерные) элементы;Действует;01.140.40
ГОСТ Р 7.0.11-2011;Система стандартов по информации, библиотечному и издательскому делу. Диссертация и автореферат диссертации. Структура и правила оформления;Действует;01.140.30
ГОСТ Р 7.0.12-2011;Система стандартов по информации, библиотечному и издательскому делу. Библиографическая запись. Сокращение слов и словосочетаний на русском языке. Общие требования и правила;Действует;01.140.20
ГОСТ Р 7.0.13-2011;Система стандартов по информации, библиотечному и издательскому делу. Карточки для каталогов и картотек, макет аннотированной карточки в издании. Общие требования и издательское оформление;Действует;01.140.30
ГОСТ Р 7.0.14-2024;Система стандартов по информации, библиотечному и издательскому делу. Словарно-энциклопедические и справочные издания. Основные виды, структура и издательско-полиграфическое оформление;Действует;01.140
ГОСТ Р 7.0.15-2013;Система стандартов по информации, библиотечному и издательскому делу. Коды для представления наименований письменностей;Действует;01.140.20
ГОСТ Р 7.0.16-2014;Система стандартов по информации, библиотечному и издательскому делу. Книжные издания. Издательско-полиграфическое оформление текстового блока;Действует;01.140
ГОСТ Р 7.0.17-2014;Система стандартов по информации, библиотечному и издательскому делу. Система обязательного экземпляра документов. Производители, получатели, основные виды документов;Действует;01.140
ГОСТ Р 7.0.20-2014;Система стандартов по информации, библиотечному и издательскому делу. Библиотечная статистика: показатели и единицы исчисления;Действует;01.140.30
ГОСТ Р 7.0.23-2019;Система стандартов по информации, библиотечному и издательскому делу. Издания информационные. Структура и оформление;Действует;01.140.20
ГОСТ Р 7.0.29-2010;Система стандартов по информации, библиотечному и издательскому делу. Электронные издания. Представление расширенного кириллического алфавита для обмена информацией;Действует;01.140.40
ГОСТ Р 7.0.30-2010;Система стандартов по информации, библиотечному и издательскому делу. Электронные издания. Представление греческого алфавита для обмена информацией;Действует;01.140.40
ГОСТ Р 7.0.34-2014;Система стандартов по информации, библиотечному и издательскому делу. Правила упрощенной транслитерации русского письма латинским алфавитом;Действует;01.140.20
ГОСТ Р 7.0.47-2008;Система стандартов по информации, библиотечному и издательскому делу. Формат для представления на машиночитаемых носителях словарей информационных языков и терминологических данных. Содержание записи;Действует;01.140.20
ГОСТ Р 7.0.49-2024;Система стандартов по информации, библиотечному и издательскому делу. Государственный рубрикатор научно-технической информации. Структура, правила использования и ведения;Действует;"01.140.20;01.140.40"
ГОСТ Р 7.0.52-2010;Система стандартов по информации, библиотечному и издательскому делу. Формат для обмена библиографическими данными. Поисковый образ документа;Действует;01.140.40
ГОСТ Р 7.0.53-2007;Система стандартов по информации, библиотечному и издательскому делу. Издания. Международный стандартный книжный номер. Использование и издательское оформление;Действует;01.140.30
ГОСТ Р 7.0.56-2017;Система стандартов по информации, библиотечному и издательскому делу. Международный стандартный сериальный номер (ISSN). Издательское оформление и использование;Действует;01.140.30
ГОСТ Р 7.0.60-2020;Система стандартов по информации, библиотечному и издательскому делу. Издания. Основные виды. Термины и определения;Действует;01.120
ГОСТ Р 7.0.61-2022;Система стандартов по информации, библиотечному и издательскому делу. Текущие государственные библиографические указатели. Общие требования и издательское оформление;Действует;01.140.20
ГОСТ Р 7.0.64-2018;Система стандартов по информации, библиотечному и издательскому делу. Представление дат и времени. Общие требования;Действует;01.140.20
ГОСТ Р 7.0.66-2010;Система стандартов по информации, библиотечному и издательскому делу. Индексирование документов. Общие требования к координатному индексированию;Действует;01.140.40
ГОСТ Р 7.0.76-2022;Система стандартов по информации, библиотечному и издательскому делу. Библиографирование. Библиографические ресурсы. Термины и определения;Действует;01.140.20
ГОСТ Р 7.0.80-2023;Система стандартов по информации, библиотечному и издательскому делу. Библиографическая запись. Заголовок. Общие требования и правила составления;Действует;01.140.20
ГОСТ Р 7.0.83-2013;Система стандартов по информации, библиотечному и издательскому делу. Электронные издания. Основные виды и выходные сведения;Действует;01.140.40
ГОСТ Р 7.0.87-2018;Система стандартов по информации, библиотечному и издательскому делу. Книжные памятники. Общие требования;Действует;01.140.20
ГОСТ Р 7.0.90-2016;Система стандартов по информации, библиотечному и издательскому делу. Универсальная десятичная классификация. Структура, правила ведения и индексирования;Действует;01.140.40
ГОСТ Р 7.0.91-2015;Система стандартов по информации, библиотечному и издательскому делу. Тезаурусы для информационного поиска;Действует;01.140.20
ГОСТ Р 7.0.92-2015;Система стандартов по информации, библиотечному и издательскому делу. Формат электронного обмена данными в книжном деле ONIX XML;Действует;01.140
ГОСТ Р 7.0.93-2015;Система стандартов по информации, библиотечному и издательскому делу. Библиотечный фонд. Технология формирования;Действует;01.140.30
ГОСТ Р 7.0.94-2022;Система стандартов по информации, библиотечному и издательскому делу. Библиотечный фонд. Термины и определения;Действует;01.140.40
ГОСТ Р 7.0.95-2015;Система стандартов по информации, библиотечному и издательскому делу. Электронные документы. Основные виды, выходные сведения, технологические характеристики;Действует;01.140.30
ГОСТ Р 7.0.96-2016;Система стандартов по информации, библиотечному и издательскому делу. Электронные библиотеки. Основные виды. Структура. Технология формирования;Действует;01.140.30
ГОСТ Р 7.0.97-2016;Система стандартов по информации, библиотечному и издательскому делу. Организационно-распорядительная документация. Требования к оформлению документов;Действует;01.140.20
ГОСТ Р 7.0.98-2024;Система стандартов по информации, библиотечному и издательскому делу. Международный стандартный идентификатор для библиотек и родственных организаций (ISIL);Действует;"01.140.40;01.140.20"
ГОСТ Р 7.0.99-2018;Система стандартов по информации, библиотечному и издательскому делу. Реферат и аннотация. Общие требования;Действует;01.140.20
ГОСТ Р 7.0.100-2018;Система стандартов по информации, библиотечному и издательскому делу. Библиографическая запись. Библиографическое описание. Общие требования и правила составления;Действует;01.140.20
ГОСТ Р 7.0.101-2018;Система стандартов по информации, библиотечному и издательскому делу. Информация и документация. Системы управления документами. Требования;Действует;01.120
ГОСТ Р 7.0.102-2018;Система стандартов по информации, библиотечному и издательскому делу. Профиль комплектования фондов научных библиотек. Структура. Индикаторы комплектования;Действует;01.140.30
ГОСТ Р 7.0.103-2023;Система стандартов по информации, библиотечному и издательскому делу. Библиотечно-информационное обслуживание. Термины и определения;Действует;01.140.40
ГОСТ Р 7.0.104-2019;Система стандартов по информации, библиотечному и издательскому делу. Библиотечно-информационные услуги научной библиотеки. Виды, формы и режимы предоставления;Действует;01.140.30
ГОСТ Р 7.0.105-2020;Система стандартов по информации, библиотечному и издательскому делу. Номер государственной регистрации обязательного экземпляра печатного издания. Структура, оформление, использование;Действует;01.120
ГОСТ Р 7.0.106-2024;Система стандартов по информации, библиотечному и издательскому делу. Взаимодействие тезаурусов и других словарей;Действует;01.140.20
ГОСТ Р 7.0.107-2022;Система стандартов по информации, библиотечному и издательскому делу. Библиотечно-информационная деятельность. Термины и определения;Действует;01.140.20
ГОСТ Р 7.0.108-2022;Система стандартов по информации, библиотечному и издательскому делу. Библиографические ссылки на электронные документы, размещенные в информационно-телекоммуникационных сетях. Общие требования к составлению и оформлению;Действует;01.140.30
ГОСТ Р 7.0.109-2024;Система стандартов по информации, библиотечному и издательскому делу. Информация и документация. Управление документами. Логическая структура, состав метаданных документов и требования к их содержанию;Действует;01.140.30
ГОСТ Р 8.000-2015;Государственная система обеспечения единства измерений. Основные положения;Действует;17.020
ГОСТ Р 8.559-94;Государственная система обеспечения единства измерений. Лазеры измерительные. Методика поверки;Действует;31.260
ГОСТ Р 8.561-95;Государственная система обеспечения единства измерений. Метрологическое обеспечение банковских технологий. Общие положения;Действует;"17.020;35.240.40"
ГОСТ Р 8.563-2009;Государственная система обеспечения единства измерений. Методики (методы) измерений;Действует;17.020
ГОСТ Р 8.564-96;Государственная система обеспечения единства измерений. Государственная поверочная схема для средств измерений напряженности электрического поля в диапазоне частот 0 - 20 кГц;Действует;17.220.20
ГОСТ Р 8.565-2014;Государственная система обеспечения единства измерений. Метрологическое обеспечение атомных станций. Основные положения;Действует;17.020
ГОСТ Р 8.566-2012;Государственная система обеспечения единства измерений. Излучатели в виде моделей абсолютно черного тела. Методика поверки и калибровки;Действует;17.200.20
ГОСТ Р 8.568-2017;Государственная система обеспечения единства измерений. Аттестация испытательного оборудования. Основные положения;Действует;17.020
ГОСТ Р 8.571-98;Государственная система обеспечения единства измерений. Термометры сопротивления платиновые эталонные 1-го и 2-го разрядов. Методика поверки;Действует;17.200.20
ГОСТ Р 8.574-2000;Государственная система обеспечения единства измерений. Государственная поверочная схема для средств измерений плотности потока энергии электромагнитного поля в диапазоне частот от 0,3 до 178,4 ГГц;Действует;17.020
ГОСТ Р 8.581-2001;Государственная система обеспечения единства измерений. Установки для измерений влажности зерна и зернопродуктов воздушно-тепловые. Методика поверки;Действует;17.020
ГОСТ Р 8.584-2001;Государственная система обеспечения единства измерений. Оборудование медицинское ультразвуковое. Аппараты экстракорпоральной литотрипсии. Общие требования к представлению параметров акустического выхода и методикам их измерений;Действует;"11.040.60;17.020"
ГОСТ Р 8.585-2001;Государственная система обеспечения единства измерений. Термопары. Номинальные статические характеристики преобразования;Действует;17.020
ГОСТ Р 8.586-2016;Государственная система обеспечения единства измерений. Средства измерений характеристик искусственного и естественного излучения для обеспечения сохранности музейных экспонатов. Методика поверки;Действует;17.020
ГОСТ Р 8.587-2001;Государственная система обеспечения единства измерений. Средства измерений характеристик оптического излучения солнечных имитаторов. Методика поверки;Действует;17.020
ГОСТ Р 8.588-2001;Государственная система обеспечения единства измерений. Радиометры ультрафиолетового излучения для озонного мониторинга. Методика поверки;Действует;"17.020;17.240"
ГОСТ Р 8.589-2001;Государственная система обеспечения единства измерений. Контроль загрязнения окружающей природной среды. Метрологическое обеспечение. Основные положения;Действует;17.020
ГОСТ Р 8.590-2001;Государственная система обеспечения единства измерений. Средства измерений характеристик ультрафиолетового излучения в охране труда. Методика поверки;Действует;"17.020;17.240"
ГОСТ Р 8.591-2002;Государственная система обеспечения единства измерений. Теплосчетчики двухканальные для водяных систем теплоснабжения. Нормирование пределов допускаемой погрешности при измерениях потребленной абонентами тепловой энергии;Действует;"17.020;17.200.10"
ГОСТ Р 8.592-2002;Государственная система обеспечения единства измерений. Тепловая энергия, потребленная абонентами водяных систем теплоснабжения. Типовая методика выполнения измерений;Действует;"17.200.10;27.010;17.020"
ГОСТ Р 8.593-2002;Государственная система обеспечения единства измерений. Анализаторы состава зерна и кормов инфракрасные. Методика поверки;Действует;17.020
ГОСТ Р 8.596-2002;Государственная система обеспечения единства измерений. Метрологическое обеспечение измерительных систем. Основные положения;Действует;17.020
ГОСТ Р 8.597-2003;Государственная система обеспечения единства измерений. Нагрузки коаксиальные. Методика поверки;Действует;17.020
ГОСТ Р 8.598-2003;Государственная система обеспечения единства измерений. Весы для взвешивания железнодорожных транспортных средств в движении. Методика поверки;Действует;"17.020;17.060"
ГОСТ Р 8.600-2003;Государственная система обеспечения единства измерений. Методики выполнения измерений массовой доли основного вещества реактивов и особо чистых веществ титриметрическими методами. Общие требования;Действует;17.020
ГОСТ Р 8.604-2004;Государственная система обеспечения единства измерений. Приборы медицинские ультразвуковые диагностические. Мониторы акушерские портативные для измерения параметров сердцебиения плода. Общие требования к представлению параметров и методикам их измерений;Действует;17.020
ГОСТ Р 8.605-2004;Государственная система обеспечения единства измерений. Приборы медицинские ультразвуковые диагностические. Общие требования к методикам измерений параметров доплеровских приборов непрерывной волны;Действует;17.020
ГОСТ Р 8.609-2018;Государственная система обеспечения единства измерений. Стандартные образцы системы государственного учета и контроля ядерных материалов. Основные положения;Действует;17.020
ГОСТ Р 8.611-2005;Государственная система обеспечения единства измерений. Преобразователи термоэлектрические платинородий-платиновые эталонные 1, 2 и 3-го разрядов. Методика поверки;Действует;17.020
ГОСТ Р 8.611-2024;Государственная система обеспечения единства измерений. Преобразователи термоэлектрические платинородий-платиновые эталонные 1, 2 и 3-го разрядов. Методика поверки и калибровки;Принят;17.200.20
ГОСТ Р 8.613-2013;Государственная система обеспечения единства измерений. Методики (методы) измерений состава и свойств проб вод. Общие требования к разработке;Действует;17.020
ГОСТ Р 8.614-2018;Государственная система обеспечения единства измерений. Государственная служба стандартных справочных данных. Основные положения;Действует;17.020
ГОСТ Р 8.616-2006;Государственная система обеспечения единства измерений. Государственная поверочная схема для средств измерений мощности ультразвука в воде в диапазоне частот от 0,5 до 12 МГц;Действует;17.020
ГОСТ Р 8.619-2006;Государственная система обеспечения единства измерений. Приборы тепловизионные измерительные. Методика поверки;Действует;17.200.20
ГОСТ Р 8.621-2006;Государственная система обеспечения единства измерений. Материалы и изделия строительные. Методика выполнения измерений влажности и теплопроводности диэлькометрическим методом;Действует;17.020
ГОСТ Р 8.622-2006;Государственная система обеспечения единства измерений. Показатели качества электрической энергии. Методика выполнения измерений при проведении контроля качества электрической энергии в системах электроснабжения общего назначения;Принят;17.020
ГОСТ Р 8.623-2015;Государственная система обеспечения единства измерений. Относительная диэлектрическая проницаемость и тангенс угла диэлектрических потерь твердых диэлектриков. Методики измерений в диапазоне сверхвысоких частот;Действует;17.220.20
ГОСТ Р 8.626-2006;Государственная система обеспечения единства измерений. Изделия кондитерские сахаристые. Инфракрасный термогравиметрический метод определения влажности;Действует;67.180.10
ГОСТ Р 8.627-2007;Государственная система обеспечения единства измерений. Измерение коэффициентов зеркального и диффузного отражения в диапазоне вакуумного ультрафиолетового излучения. Методика выполнения измерений;Действует;17.020
ГОСТ Р 8.628-2007;Государственная система обеспечения единства измерений. Меры рельефные нанометрового диапазона из монокристаллического кремния. Требования к геометрическим формам, линейным размерам и выбору материала для изготовления;Действует;17.040.01
ГОСТ Р 8.629-2007;Государственная система обеспечения единства измерений. Меры рельефные нанометрового диапазона с трапецеидальным профилем элементов. Методика поверки;Действует;17.040.01
ГОСТ Р 8.630-2007;Государственная система обеспечения единства измерений. Микроскопы сканирующие зондовые атомно-силовые. Методика поверки;Действует;17.040.01
ГОСТ Р 8.631-2007;Государственная система обеспечения единства измерений. Микроскопы электронные растровые. Методика поверки;Действует;17.040.01
ГОСТ Р 8.632-2013;Государственная система обеспечения единства измерений. Метрологическое обеспечение уничтожения химического оружия. Основные положения;Действует;17.020
ГОСТ Р 8.633-2007;Государственная система обеспечения единства измерений. Зерно и зернопродукты. Инфракрасный термогравиметрический метод определения влажности;Действует;67.180.10
