name,full_name,unit,kind,label,type_hint,okved_code,hs_code
Монитор LG 5423,"Монитор LG 5423, реальный товар",м,Электроника,Товар,Товар,26.30,8455.20.100
Краска Bosch 1769,"Краска Bosch 1769, реальный товар",м,Материалы,Товар,Товар,14.12,8445.72.100
Ремонт техники Студия,"Ремонт техники, предоставляется компанией Студия",месяц,Образование,Услуга,Услуга,74.10,
Графический дизайн Центр,"Графический дизайн, предоставляется компанией Центр",месяц,Образование,Услуга,Услуга,49.41,
Футболка Danone 3460,"Футболка Danone 3460, реальный товар",м,Одежда,Товар,Товар,27.51,8416.74.100
Уборка помещения Студия,"Уборка помещения, предоставляется компанией Студия",услуга,Красота,Услуга,Услуга,49.41,
Разработка веб-сайта ПРО,"Разработка веб-сайта, предоставляется компанией ПРО",курс,Образование,Услуга,Услуга,96.04,
Стиральная машина Adidas 7383,"Стиральная машина Adidas 7383, реальный товар",л,Бытовая техника,Товар,Товар,10.51,8486.14.100
Разработка веб-сайта Центр,"Разработка веб-сайта, предоставляется компанией Центр",услуга,ИТ услуги,Услуга,Услуга,74.10,
Уборка помещения Сервис,"Уборка помещения, предоставляется компанией Сервис",курс,Логистика,Услуга,Услуга,49.41,
Ящик картонный размер 12,Ящик картонный упаковочный размер 12,шт,Тара производственная,Тара,Тара,16.23,
Сыр Adidas 2832,"Сыр Adidas 2832, реальный товар",кг,Продукты,Товар,Товар,27.51,8480.49.100
Ботинки Bosch 5267,"Ботинки Bosch 5267, реальный товар",шт,Обувь,Товар,Товар,10.51,8426.52.100
Джинсы Danone 4095,"Джинсы Danone 4095, реальный товар",л,Одежда,Товар,Товар,14.12,8444.96.100
Доставка товаров Студия,"Доставка товаров, предоставляется компанией Студия",курс,ИТ услуги,Услуга,Услуга,49.41,
Колбаса LG 4001,"Колбаса LG 4001, реальный товар",шт,Продукты,Товар,Товар,26.30,8492.50.100
Консультация адвоката Студия,"Консультация адвоката, предоставляется компанией Студия",час,ИТ услуги,Услуга,Услуга,74.10,
Планшет Samsung 1098,"Планшет Samsung 1098, реальный товар",кг,Электроника,Товар,Товар,27.51,8499.57.100
Краска Bosch 7884,"Краска Bosch 7884, реальный товар",кг,Материалы,Товар,Товар,14.12,8477.65.100
Футболка Nike 9320,"Футболка Nike 9320, реальный товар",л,Одежда,Товар,Товар,14.12,8427.96.100
Уборка помещения Студия,"Уборка помещения, предоставляется компанией Студия",курс,Логистика,Услуга,Услуга,96.04,
Косметический уход ПРО,"Косметический уход, предоставляется компанией ПРО",курс,Образование,Услуга,Услуга,62.01,
Обучение языку Центр,"Обучение языку, предоставляется компанией Центр",услуга,Красота,Услуга,Услуга,49.41,
Краска Nike 7660,"Краска Nike 7660, реальный товар",шт,Материалы,Товар,Товар,26.30,8490.22.100
Установка окна Центр,"Установка окна, предоставляется компанией Центр",услуга,Красота,Услуга,Услуга,62.01,
Посудомоечная LG 3469,"Посудомоечная LG 3469, реальный товар",л,Бытовая техника,Товар,Товар,26.30,8441.30.100
Уборка помещения Сервис,"Уборка помещения, предоставляется компанией Сервис",услуга,Логистика,Услуга,Услуга,49.41,
Консультация адвоката Студия,"Консультация адвоката, предоставляется компанией Студия",час,Образование,Услуга,Услуга,49.41,
Стиральная машина Danone 5811,"Стиральная машина Danone 5811, реальный товар",кг,Бытовая техника,Товар,Товар,14.12,8434.21.100
Разработка веб-сайта Центр,"Разработка веб-сайта, предоставляется компанией Центр",месяц,Логистика,Услуга,Услуга,74.10,
Косметический уход Центр,"Косметический уход, предоставляется компанией Центр",час,ИТ услуги,Услуга,Услуга,85.41,
Куртка Nike 3573,"Куртка Nike 3573, реальный товар",кг,Одежда,Товар,Товар,14.12,8472.91.100
Хлеб Danone 1037,"Хлеб Danone 1037, реальный товар",шт,Продукты,Товар,Товар,26.30,8463.64.100
Косметический уход Студия,"Косметический уход, предоставляется компанией Студия",месяц,Логистика,Услуга,Услуга,96.04,
Разработка веб-сайта ПРО,"Разработка веб-сайта, предоставляется компанией ПРО",курс,ИТ услуги,Услуга,Услуга,85.41,
Стиральная машина Adidas 4683,"Стиральная машина Adidas 4683, реальный товар",м,Бытовая техника,Товар,Товар,10.51,8431.74.100
Футболка Samsung 8612,"Футболка Samsung 8612, реальный товар",шт,Одежда,Товар,Товар,14.12,8436.75.100
Колбаса Danone 5660,"Колбаса Danone 5660, реальный товар",м,Продукты,Товар,Товар,26.30,8497.95.100
Графический дизайн Студия,"Графический дизайн, предоставляется компанией Студия",курс,ИТ услуги,Услуга,Услуга,62.01,
Саморезы LG 9011,"Саморезы LG 9011, реальный товар",л,Материалы,Товар,Товар,27.51,8457.51.100
Футболка LG 1221,"Футболка LG 1221, реальный товар",шт,Одежда,Товар,Товар,15.29,8490.48.100
Уборка помещения Студия,"Уборка помещения, предоставляется компанией Студия",час,Красота,Услуга,Услуга,85.41,
Краска Bosch 3111,"Краска Bosch 3111, реальный товар",шт,Материалы,Товар,Товар,10.51,8434.80.100
Уборка помещения Студия,"Уборка помещения, предоставляется компанией Студия",курс,Логистика,Услуга,Услуга,74.10,
Холодильник LG 9024,"Холодильник LG 9024, реальный товар",м,Бытовая техника,Товар,Товар,10.51,8498.42.100
Планшет Samsung 4910,"Планшет Samsung 4910, реальный товар",кг,Электроника,Товар,Товар,10.51,8476.96.100
Ящик картонный размер 8,Ящик картонный упаковочный размер 8,шт,Тара производственная,Тара,Тара,16.23,
Ботинки Nike 8933,"Ботинки Nike 8933, реальный товар",л,Обувь,Товар,Товар,27.51,8410.18.100
Ботинки Nike 3863,"Ботинки Nike 3863, реальный товар",шт,Обувь,Товар,Товар,26.30,8448.84.100
Монитор Bosch 8027,"Монитор Bosch 8027, реальный товар",л,Электроника,Товар,Товар,26.30,8422.62.100
Доставка товаров Студия,"Доставка товаров, предоставляется компанией Студия",час,Логистика,Услуга,Услуга,96.04,
Монитор LG 3189,"Монитор LG 3189, реальный товар",кг,Электроника,Товар,Товар,15.29,8452.99.100
Ремонт техники Сервис,"Ремонт техники, предоставляется компанией Сервис",месяц,Красота,Услуга,Услуга,96.04,
Холодильник Adidas 4431,"Холодильник Adidas 4431, реальный товар",кг,Бытовая техника,Товар,Товар,14.12,8480.29.100
Джинсы Danone 7268,"Джинсы Danone 7268, реальный товар",кг,Одежда,Товар,Товар,26.30,8418.54.100
Колбаса Bosch 8932,"Колбаса Bosch 8932, реальный товар",кг,Продукты,Товар,Товар,27.51,8467.16.100
Косметический уход Центр,"Косметический уход, предоставляется компанией Центр",курс,Образование,Услуга,Услуга,62.01,
Установка окна Сервис,"Установка окна, предоставляется компанией Сервис",услуга,ИТ услуги,Услуга,Услуга,96.04,
Куртка Bosch 1125,"Куртка Bosch 1125, реальный товар",шт,Одежда,Товар,Товар,27.51,8467.11.100
Цемент Danone 6524,"Цемент Danone 6524, реальный товар",м,Материалы,Товар,Товар,10.51,8489.73.100
Уборка помещения ПРО,"Уборка помещения, предоставляется компанией ПРО",месяц,Логистика,Услуга,Услуга,49.41,
Консультация адвоката Центр,"Консультация адвоката, предоставляется компанией Центр",час,Образование,Услуга,Услуга,96.04,
Ботинки Danone 9672,"Ботинки Danone 9672, реальный товар",шт,Обувь,Товар,Товар,10.51,8459.24.100
Джинсы Danone 7324,"Джинсы Danone 7324, реальный товар",л,Одежда,Товар,Товар,26.30,8443.57.100
Сыр Danone 8818,"Сыр Danone 8818, реальный товар",шт,Продукты,Товар,Товар,10.51,8465.56.100
Уборка помещения ПРО,"Уборка помещения, предоставляется компанией ПРО",месяц,ИТ услуги,Услуга,Услуга,96.04,
Монитор Danone 7289,"Монитор Danone 7289, реальный товар",шт,Электроника,Товар,Товар,10.51,8465.39.100
Установка окна Центр,"Установка окна, предоставляется компанией Центр",курс,Образование,Услуга,Услуга,74.10,
Сыр Bosch 8773,"Сыр Bosch 8773, реальный товар",л,Продукты,Товар,Товар,27.51,8458.23.100
Ящик картонный размер 32,Ящик картонный упаковочный размер 32,шт,Тара производственная,Тара,Тара,16.23,
Планшет Samsung 4811,"Планшет Samsung 4811, реальный товар",м,Электроника,Товар,Товар,27.51,8452.87.100
Ботинки Adidas 3340,"Ботинки Adidas 3340, реальный товар",л,Обувь,Товар,Товар,27.51,8410.97.100
Краска LG 5085,"Краска LG 5085, реальный товар",кг,Материалы,Товар,Товар,27.51,8494.51.100
Хлеб Bosch 3694,"Хлеб Bosch 3694, реальный товар",кг,Продукты,Товар,Товар,10.51,8490.99.100
Установка окна Студия,"Установка окна, предоставляется компанией Студия",месяц,Образование,Услуга,Услуга,74.10,
Холодильник Danone 6232,"Холодильник Danone 6232, реальный товар",кг,Бытовая техника,Товар,Товар,14.12,8419.17.100
Обучение языку Студия,"Обучение языку, предоставляется компанией Студия",курс,ИТ услуги,Услуга,Услуга,96.04,
Джинсы Samsung 8717,"Джинсы Samsung 8717, реальный товар",м,Одежда,Товар,Товар,10.51,8477.79.100
Цемент Danone 4463,"Цемент Danone 4463, реальный товар",л,Материалы,Товар,Товар,27.51,8477.37.100
Ботинки Adidas 2815,"Ботинки Adidas 2815, реальный товар",м,Обувь,Товар,Товар,26.30,8431.63.100
Молоко Bosch 8417,"Молоко Bosch 8417, реальный товар",л,Продукты,Товар,Товар,26.30,8410.52.100
Доставка товаров Центр,"Доставка товаров, предоставляется компанией Центр",услуга,Красота,Услуга,Услуга,62.01,
Окраска объект 41,Окраска стен и потолков объект 41,м²,Отделочные работы,Работа,Работа,43.34,
Футболка Samsung 5681,"Футболка Samsung 5681, реальный товар",м,Одежда,Товар,Товар,26.30,8498.82.100
Уборка помещения Сервис,"Уборка помещения, предоставляется компанией Сервис",курс,ИТ услуги,Услуга,Услуга,62.01,
Молоко Nike 1673,"Молоко Nike 1673, реальный товар",л,Продукты,Товар,Товар,10.51,8498.76.100
Смартфон Danone 2621,"Смартфон Danone 2621, реальный товар",шт,Электроника,Товар,Товар,14.12,8429.19.100
Консультация адвоката Сервис,"Консультация адвоката, предоставляется компанией Сервис",месяц,Образование,Услуга,Услуга,85.41,
Хлеб LG 7866,"Хлеб LG 7866, реальный товар",кг,Продукты,Товар,Товар,14.12,8495.94.100
Ремонт техники Сервис,"Ремонт техники, предоставляется компанией Сервис",месяц,ИТ услуги,Услуга,Услуга,85.41,
Краска Samsung 5751,"Краска Samsung 5751, реальный товар",кг,Материалы,Товар,Товар,14.12,8481.18.100
Доставка товаров Сервис,"Доставка товаров, предоставляется компанией Сервис",час,Логистика,Услуга,Услуга,96.04,
Рубашка Nike 7095,"Рубашка Nike 7095, реальный товар",м,Одежда,Товар,Товар,10.51,8431.68.100
Ящик картонный размер 13,Ящик картонный упаковочный размер 13,шт,Тара производственная,Тара,Тара,16.23,
Кроссовки Samsung 8270,"Кроссовки Samsung 8270, реальный товар",л,Обувь,Товар,Товар,14.12,8486.57.100
Смартфон Samsung 5482,"Смартфон Samsung 5482, реальный товар",л,Электроника,Товар,Товар,26.30,8424.86.100
Цемент Danone 1874,"Цемент Danone 1874, реальный товар",шт,Материалы,Товар,Товар,26.30,8448.19.100
Уборка помещения Центр,"Уборка помещения, предоставляется компанией Центр",курс,Образование,Услуга,Услуга,49.41,
Монитор LG 4459,"Монитор LG 4459, реальный товар",м,Электроника,Товар,Товар,14.12,8486.91.100
Графический дизайн ПРО,"Графический дизайн, предоставляется компанией ПРО",курс,Логистика,Услуга,Услуга,62.01,
Графический дизайн Студия,"Графический дизайн, предоставляется компанией Студия",час,Образование,Услуга,Услуга,74.10,
Обучение языку Сервис,"Обучение языку, предоставляется компанией Сервис",услуга,Логистика,Услуга,Услуга,96.04,
Кроссовки LG 9356,"Кроссовки LG 9356, реальный товар",л,Обувь,Товар,Товар,27.51,8481.74.100
Установка окна Студия,"Установка окна, предоставляется компанией Студия",услуга,Образование,Услуга,Услуга,62.01,
Колбаса Adidas 7634,"Колбаса Adidas 7634, реальный товар",шт,Продукты,Товар,Товар,26.30,8423.74.100
Колбаса LG 5489,"Колбаса LG 5489, реальный товар",шт,Продукты,Товар,Товар,26.30,8432.15.100
Футболка Nike 3109,"Футболка Nike 3109, реальный товар",м,Одежда,Товар,Товар,27.51,8477.54.100
Краска Danone 1852,"Краска Danone 1852, реальный товар",л,Материалы,Товар,Товар,14.12,8464.22.100
Молоко Adidas 3544,"Молоко Adidas 3544, реальный товар",кг,Продукты,Товар,Товар,14.12,8490.32.100
Косметический уход Центр,"Косметический уход, предоставляется компанией Центр",месяц,ИТ услуги,Услуга,Услуга,96.04,
Графический дизайн Студия,"Графический дизайн, предоставляется компанией Студия",услуга,Образование,Услуга,Услуга,74.10,
Джинсы LG 7705,"Джинсы LG 7705, реальный товар",шт,Одежда,Товар,Товар,15.29,8476.33.100
Графический дизайн Сервис,"Графический дизайн, предоставляется компанией Сервис",курс,Красота,Услуга,Услуга,85.41,
Ноутбук LG 9718,"Ноутбук LG 9718, реальный товар",л,Электроника,Товар,Товар,14.12,8479.30.100
Хлеб Samsung 5786,"Хлеб Samsung 5786, реальный товар",м,Продукты,Товар,Товар,26.30,8435.17.100
Ящик картонный размер 68,Ящик картонный упаковочный размер 68,шт,Тара производственная,Тара,Тара,16.23,
Установка окна Студия,"Установка окна, предоставляется компанией Студия",месяц,Образование,Услуга,Услуга,96.04,
Колбаса Samsung 1698,"Колбаса Samsung 1698, реальный товар",м,Продукты,Товар,Товар,15.29,8421.39.100
Мебельный гарнитур модель 12,"Мебельный гарнитур, комплект мебели модель 12",компл,Мебель комплект,Набор,Набор,31.01,
Стиральная машина Adidas 3059,"Стиральная машина Adidas 3059, реальный товар",л,Бытовая техника,Товар,Товар,27.51,8471.92.100
Цемент Adidas 9838,"Цемент Adidas 9838, реальный товар",кг,Материалы,Товар,Товар,26.30,8412.84.100
Джинсы Adidas 5421,"Джинсы Adidas 5421, реальный товар",л,Одежда,Товар,Товар,14.12,8469.35.100
Уборка помещения Студия,"Уборка помещения, предоставляется компанией Студия",месяц,Логистика,Услуга,Услуга,49.41,
Ботинки Bosch 2255,"Ботинки Bosch 2255, реальный товар",шт,Обувь,Товар,Товар,26.30,8440.68.100
Обучение языку Центр,"Обучение языку, предоставляется компанией Центр",услуга,Логистика,Услуга,Услуга,49.41,
Холодильник Adidas 5859,"Холодильник Adidas 5859, реальный товар",м,Бытовая техника,Товар,Товар,27.51,8424.40.100
Ремонт техники Центр,"Ремонт техники, предоставляется компанией Центр",услуга,Красота,Услуга,Услуга,49.41,
Разработка веб-сайта Студия,"Разработка веб-сайта, предоставляется компанией Студия",курс,Красота,Услуга,Услуга,85.41,
Куртка LG 8640,"Куртка LG 8640, реальный товар",л,Одежда,Товар,Товар,27.51,8432.57.100
Куртка Nike 2962,"Куртка Nike 2962, реальный товар",кг,Одежда,Товар,Товар,26.30,8454.60.100
Краска LG 6356,"Краска LG 6356, реальный товар",шт,Материалы,Товар,Товар,14.12,8497.51.100
Куртка Adidas 6534,"Куртка Adidas 6534, реальный товар",м,Одежда,Товар,Товар,10.51,8429.52.100
Тренировка в фитнесе Центр,"Тренировка в фитнесе, предоставляется компанией Центр",час,ИТ услуги,Услуга,Услуга,85.41,
Хлеб Bosch 4939,"Хлеб Bosch 4939, реальный товар",л,Продукты,Товар,Товар,26.30,8435.32.100
Монитор Danone 1058,"Монитор Danone 1058, реальный товар",кг,Электроника,Товар,Товар,26.30,8464.42.100
Ремонт техники Центр,"Ремонт техники, предоставляется компанией Центр",час,ИТ услуги,Услуга,Услуга,49.41,
Посудомоечная Bosch 9884,"Посудомоечная Bosch 9884, реальный товар",м,Бытовая техника,Товар,Товар,15.29,8485.85.100
Уборка помещения ПРО,"Уборка помещения, предоставляется компанией ПРО",услуга,ИТ услуги,Услуга,Услуга,74.10,
Ремонт техники ПРО,"Ремонт техники, предоставляется компанией ПРО",услуга,Образование,Услуга,Услуга,62.01,
Рубашка Nike 5974,"Рубашка Nike 5974, реальный товар",м,Одежда,Товар,Товар,14.12,8473.87.100
Установка окна Сервис,"Установка окна, предоставляется компанией Сервис",месяц,ИТ услуги,Услуга,Услуга,96.04,
Консультация адвоката Центр,"Консультация адвоката, предоставляется компанией Центр",услуга,Красота,Услуга,Услуга,85.41,
Доставка товаров Сервис,"Доставка товаров, предоставляется компанией Сервис",час,Образование,Услуга,Услуга,49.41,
Стиральная машина Danone 3266,"Стиральная машина Danone 3266, реальный товар",м,Бытовая техника,Товар,Товар,10.51,8475.21.100
Тренировка в фитнесе Сервис,"Тренировка в фитнесе, предоставляется компанией Сервис",услуга,Красота,Услуга,Услуга,62.01,
Саморезы Samsung 9443,"Саморезы Samsung 9443, реальный товар",шт,Материалы,Товар,Товар,15.29,8436.54.100
Консультация адвоката Центр,"Консультация адвоката, предоставляется компанией Центр",месяц,Логистика,Услуга,Услуга,85.41,
Куртка Adidas 7375,"Куртка Adidas 7375, реальный товар",л,Одежда,Товар,Товар,27.51,8416.45.100
Посудомоечная Nike 5981,"Посудомоечная Nike 5981, реальный товар",кг,Бытовая техника,Товар,Товар,15.29,8484.51.100
Ноутбук Adidas 7291,"Ноутбук Adidas 7291, реальный товар",м,Электроника,Товар,Товар,26.30,8495.75.100
Ремонт техники Центр,"Ремонт техники, предоставляется компанией Центр",курс,Логистика,Услуга,Услуга,62.01,
Тренировка в фитнесе Студия,"Тренировка в фитнесе, предоставляется компанией Студия",месяц,Логистика,Услуга,Услуга,85.41,
Сыр Bosch 1466,"Сыр Bosch 1466, реальный товар",кг,Продукты,Товар,Товар,15.29,8475.45.100
Окраска объект 15,Окраска стен и потолков объект 15,м²,Отделочные работы,Работа,Работа,43.34,
Саморезы Danone 3170,"Саморезы Danone 3170, реальный товар",м,Материалы,Товар,Товар,10.51,8480.86.100
Тренировка в фитнесе ПРО,"Тренировка в фитнесе, предоставляется компанией ПРО",месяц,Красота,Услуга,Услуга,96.04,
Колбаса LG 7297,"Колбаса LG 7297, реальный товар",л,Продукты,Товар,Товар,15.29,8482.43.100
Ремонт техники Сервис,"Ремонт техники, предоставляется компанией Сервис",месяц,Образование,Услуга,Услуга,96.04,
Ноутбук LG 6083,"Ноутбук LG 6083, реальный товар",л,Электроника,Товар,Товар,26.30,8478.19.100
Смартфон LG 3667,"Смартфон LG 3667, реальный товар",л,Электроника,Товар,Товар,14.12,8425.52.100
Краска Danone 7785,"Краска Danone 7785, реальный товар",шт,Материалы,Товар,Товар,14.12,8482.44.100
Цемент Nike 6060,"Цемент Nike 6060, реальный товар",м,Материалы,Товар,Товар,27.51,8474.72.100
Планшет Samsung 2148,"Планшет Samsung 2148, реальный товар",л,Электроника,Товар,Товар,27.51,8471.57.100
Молоко Nike 3773,"Молоко Nike 3773, реальный товар",м,Продукты,Товар,Товар,10.51,8443.51.100
Мебельный гарнитур модель 11,"Мебельный гарнитур, комплект мебели модель 11",компл,Мебель комплект,Набор,Набор,31.01,
Планшет Danone 9568,"Планшет Danone 9568, реальный товар",кг,Электроника,Товар,Товар,15.29,8465.54.100
Посудомоечная Adidas 2120,"Посудомоечная Adidas 2120, реальный товар",шт,Бытовая техника,Товар,Товар,27.51,8416.21.100
Молоко Nike 4271,"Молоко Nike 4271, реальный товар",л,Продукты,Товар,Товар,15.29,8453.38.100
Косметический уход Центр,"Косметический уход, предоставляется компанией Центр",месяц,ИТ услуги,Услуга,Услуга,62.01,
Обучение языку Центр,"Обучение языку, предоставляется компанией Центр",месяц,Красота,Услуга,Услуга,96.04,
Окраска объект 38,Окраска стен и потолков объект 38,м²,Отделочные работы,Работа,Работа,43.34,
Монитор Nike 7922,"Монитор Nike 7922, реальный товар",шт,Электроника,Товар,Товар,27.51,8411.24.100
Установка окна Сервис,"Установка окна, предоставляется компанией Сервис",месяц,Образование,Услуга,Услуга,62.01,
Разработка веб-сайта Студия,"Разработка веб-сайта, предоставляется компанией Студия",час,ИТ услуги,Услуга,Услуга,49.41,
Колбаса Bosch 8875,"Колбаса Bosch 8875, реальный товар",кг,Продукты,Товар,Товар,27.51,8441.15.100
Ботинки Nike 3688,"Ботинки Nike 3688, реальный товар",м,Обувь,Товар,Товар,26.30,8421.45.100
Ремонт техники Сервис,"Ремонт техники, предоставляется компанией Сервис",услуга,Красота,Услуга,Услуга,96.04,
Ботинки Samsung 4755,"Ботинки Samsung 4755, реальный товар",кг,Обувь,Товар,Товар,14.12,8441.58.100
Планшет Adidas 1861,"Планшет Adidas 1861, реальный товар",м,Электроника,Товар,Товар,10.51,8499.46.100
Доставка товаров Студия,"Доставка товаров, предоставляется компанией Студия",час,Красота,Услуга,Услуга,62.01,
Тренировка в фитнесе Центр,"Тренировка в фитнесе, предоставляется компанией Центр",месяц,ИТ услуги,Услуга,Услуга,96.04,
Графический дизайн Студия,"Графический дизайн, предоставляется компанией Студия",месяц,ИТ услуги,Услуга,Услуга,74.10,
Холодильник LG 1259,"Холодильник LG 1259, реальный товар",л,Бытовая техника,Товар,Товар,10.51,8412.21.100
Обучение языку ПРО,"Обучение языку, предоставляется компанией ПРО",месяц,Красота,Услуга,Услуга,74.10,
Молоко LG 1377,"Молоко LG 1377, реальный товар",л,Продукты,Товар,Товар,14.12,8446.58.100
Установка окна Сервис,"Установка окна, предоставляется компанией Сервис",месяц,Логистика,Услуга,Услуга,62.01,
Смартфон LG 7722,"Смартфон LG 7722, реальный товар",л,Электроника,Товар,Товар,26.30,8426.50.100
Консультация адвоката ПРО,"Консультация адвоката, предоставляется компанией ПРО",час,ИТ услуги,Услуга,Услуга,96.04,
Доставка товаров Студия,"Доставка товаров, предоставляется компанией Студия",услуга,Образование,Услуга,Услуга,96.04,
Консультация адвоката ПРО,"Консультация адвоката, предоставляется компанией ПРО",курс,Красота,Услуга,Услуга,96.04,
Смартфон Adidas 7013,"Смартфон Adidas 7013, реальный товар",шт,Электроника,Товар,Товар,10.51,8484.26.100
